nct_number,study_title,study_url,study_status,conditions,interventions,sponsor,collaborators,sex,age,phases,enrollment,study_type,start_date,completion_date,locations
NCT02910739,An Open-Label Study Investigating MK-8931 in Participants With Mild and Moderate Hepatic Insufficiency (MK-8931-016),https://clinicaltrials.gov/study/NCT02910739,completed,amnestic mild cognitive impairment|alzheimer's disease|prodromal alzheimer's disease,drug: mk-8931,merck sharp & dohme llc,,all,"adult, older_adult",PHASE1,16,interventional,2016-10-11,2017-04-12,nan
NCT02624778,A Study of LY3002813 in Participants With Memory Damage Due to Alzheimer's Disease (AD) or AD,https://clinicaltrials.gov/study/NCT02624778,completed,alzheimer disease,biological: ly3002813|drug: placebo,eli lilly and company,,all,"adult, older_adult",PHASE1,61,interventional,2015-12-22,2019-08-28,"brain matters research, delray beach, florida, 33445, united states|compass research, orlando, florida, 32806, united states|compass research, the villages, florida, 32162, united states|snbl clinical pharmacology center inc, baltimore, maryland, 21201, united states|st. louis clinical trials, lc, saint louis, missouri, 63141, united states|pra health sciences, salt lake city, utah, 84106, united states|for additional information regarding investigative sites for this trial, contact 1-877-ctlilly (1-877-285-4559, 1-317-615-4559) mon - fri from 9 am to 5 pm eastern time (utc/gmt - 5 hours, est), or speak with your personal physician., shinjuku-ku, 162-0053, japan|for additional information regarding investigative sites for this trial, contact 1-877-ctlilly (1-877-285-4559, 1-317-615-4559) mon - fri, 9 am to 5 pm eastern time (utc/gmt - 5 hours, est) or speak with your personal physician., shinjuku-ku, 169-0073, japan|for additional information regarding investigative sites for this trial, contact 1-877-ctlilly (1-877-285-4559, 1-317-615-4559) mon - fri, 9 am to 5 pm eastern time (utc/gmt - 5 hours, est) or speak with your personal physician., sumida-ku, 130-0004, japan"
NCT03520998,A Randomized Study to Assess the Safety of GRF6019 Infusions in Subjects With Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03520998,completed,alzheimer disease|mild to moderate alzheimer disease,drug: grf6019,"alkahest, inc.",,all,"adult, older_adult",PHASE2,47,interventional,2018-04-16,2019-05-24,"synergy east, lemon grove, california, 91945, united states|cns network, long beach, california, 90806, united states|pacific research network, san diego, california, 92103, united states|md clinical, hallandale beach, florida, 33009, united states|miami jewish health systems, miami, florida, 33137, united states|behavioral clinical research, north miami, florida, 33161, united states|bioclinica research, orlando, florida, 32806, united states|princeton medical institute, princeton, new jersey, 08540, united states|serenity inpatient, desoto, texas, 75115, united states|pra health sciences, salt lake city, utah, 84124, united states"
NCT03046121,A Family-centered Intervention for Acutely-ill Persons With Dementia,https://clinicaltrials.gov/study/NCT03046121,completed,alzheimer disease,behavioral: family-centered function-focused care (fam-ffc),penn state university,National Institutes of Health (NIH)|National Institute on Aging (NIA),all,older_adult,,461,interventional,2017-11-06,2023-12-23,"lancaster general medical center, lancaster, pennsylvania, 17602, united states|presbyterian medical center, philadelphia, pennsylvania, 19104, united states|chester county hospital, west chester, pennsylvania, 19380, united states"
NCT02788513,BI 425809 in Patients With Cognitive Impairment Due to Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT02788513,completed,alzheimer disease,drug: bi 425809 dose 1|drug: bi 425809 dose 2|drug: bi 425809 dose 3|drug: bi 425809 dose 4|drug: placebo,boehringer ingelheim,,all,"adult, older_adult",PHASE2,611,interventional,2016-08-11,2019-10-11,"axiom research llc, colton, california, 92324, united states|alliance for wellness, long beach, california, 90807, united states|anderson clinical research, redlands, california, 92374, united states|citrials, santa ana, california, 92705, united states|md clinical, hallandale beach, florida, 33009, united states|galiz research, miami, florida, 33016, united states|premier clinical research institute, miami, florida, 33122, united states|miami jewish health system, miami, florida, 33137, united states|stedman clinical trials, tampa, florida, 33613, united states|bioclinica research, the villages, florida, 32162, united states|neuro trials research incorporated, atlanta, georgia, 30342, united states|millennium psychiatric associates llc, saint louis, missouri, 63132, united states|ani neurology, pllc, dba alzheimer's memory center, charlotte, north carolina, 28270, united states|tulsa clinical research, llc, tulsa, oklahoma, 74104, united states|northeastern pennsylvania memory and alzheimer center, plains, pennsylvania, 18705, united states|roper st. francis healthcare, charleston, south carolina, 29401, united states|the memory clinic, bennington, vermont, 05201, united states|lkh-univ. hospital graz, graz, 8036, austria|medical university of innsbruck, innsbruck, 6020, austria|salk christian-doppler-klinik,paracel.med.privatuni.f.neurol, salzburg, 5020, austria|private practice for psychiatry and neurology, vienna, 1130, austria|the medical arts health research group, kelowna, british columbia, v1y 4n7, canada|true north clinical research halifax, inc., halifax, nova scotia, b3s 1m7, canada|true north clinical research kentville, inc., kentville, nova scotia, b4n 4k9, canada|bluewater clinical research, sarnia, ontario, n7t 4x3, canada|clinique neuro-outaouais, gatineau, quebec, j8y 1w2, canada|diex recherche, sherbrooke, quebec, j1h 0h8, canada|orton, helsinki, fi-00280, finland|university of eastern finland, brain research unit, kuopio, 70210, finland|terveystalo lahti, lahti, 15110, finland|oys, neurologian tutkimusyksikkö, oulu, 90220, finland|crst - clinical research services turku, turku, 20520, finland|hop pellegrin, bordeaux, 33076, france|hop pierre wertheimer, bron, 69677, france|hop roger salengro, lille, 59037, france|hop gui de chauliac, montpellier, 34295, france|hop nord laënnec, nantes, 44093, france|hop la pitié salpêtrière, paris, 75651, france|chu la grave-casselardit - cité de la santé, toulouse, 31052, france|hop brabois, vandoeuvre les nancy, 54500, france|hop des charpennes, villeurbanne, 69100, france|zentrum für klinische forschung dr. med. irma schöll & kollegen, bad homburg, 61348, germany|praxis dr. med. volker schumann, berlin, 10245, germany|charité - universitätsmedizin berlin, berlin, 12200, germany|charité - universitätsmedizin berlin, berlin, 13125, germany|praxis dr. oehlwein, gera, 07551, germany|universitätsklinikum köln (aör), köln, 50937, germany|pharmakologisches studienzentrum chemnitz, mittweida, 09648, germany|institut für psychogerontologie, nürnberg, 90408, germany|neuropraxis münchen süd, unterhaching, unterhaching, 82008, germany|naval hospital of athens, athens, 11521, greece|eginition hospital, athens, 11528, greece|university general hospital attikon, athens, 124 62, greece|athens medical center, athens, 15125, greece|university general hospital of thessaloniki ahepa, thessaloniki, 54621, greece|university general hospital of thessaloniki ahepa, thessaloniki, 54636, greece|semmelweis university, budapest, 1083, hungary|cru ltd, neurology dept., miskolc, miskolc, 3526, hungary|university of szeged, szeged, 6725, hungary|irccs fondazione ospedale maggiore, milano, 20122, italy|a.o. san gerardo di monza, monza (mb), 20900, italy|azienda ospedaliera universitaria di padova, padova, 35128, italy|azienda ospedaliera universitaria pisana, pisa, 56126, italy|fujita health university hospital, aichi, toyoake, 470-1192, japan|inage neurology and memory clinic, chiba, chiba, 263-0043, japan|sapporo medical university hospital, hokkaido, sapporo, 060-8543, japan|kagawa university hospital, kagawa, kita-gun, 761-0793, japan|kawashima neurology clinic, kanagawa, fujisawa, 251-0038, japan|ishikawa clinic, kyoto, kyoto, 606-0851, japan|nara medical university hospital, nara, kashihara, 634-8522, japan|katayama medical clinic, okayama, kurashiki, 710-0813, japan|national hospital organization hizen psychiatric center, saga, kanzaki-gun, 842-0192, japan|national center neurology and psychiatry, tokyo, kodaira, 187-8551, japan|nozomi memory clinic, tokyo, mitaka, 181-0013, japan|showa university east hospital, tokyo, shinagawa, 142-0054, japan|oslo universitetssykehus hf, hukommelsesklinikken, oslo, n-0450, norway|st. olavs hospital, universitetssykehuset i trondheim, trondheim, n-7030, norway|podlassian center of psychogeriatry, bialystok, bialystok, 15-732, poland|non-public outpat. clinic ""dom sue ryder"", pallmed sp. z o.o, bydgoszcz, 85-023, poland|non-public outpatient clinic neuro-kard ilkowski & partners, poznan, 61-853, poland|euromedis sp. z o.o., szczecin, szczecin, 70-111, poland|clin.research centre clinsante sc ewa galczak-nowak,torun, torun, 87-100, poland|hospital del mar, barcelona, 08003, spain|hospital vall d'hebron, barcelona, 08035, spain|hospital sant joan de deu de manresa, manresa, 08423, spain|hospital universitari general de catalunya, sant cugat del vallès, 08190, spain|hospital universitario marqués de valdecilla, santander, 39008, spain|hospital viamed montecanal, zaragoza, 50012, spain|royal cornhill hospital, aberdeen, ab25 2zh, united kingdom|fulbourn hospital, cambridge, cb21 5ef, united kingdom|ninewells hospital & medical school, dundee, dd2 1sy, united kingdom|western general hospital, edinburgh, eh4 2xu, united kingdom|queen elizabeth university hospital, glasgow, g51 4tf, united kingdom|warneford hospital, oxford, ox3 7jx, united kingdom|sheffield memory service, sheffield, s10 3th, united kingdom"
NCT02337907,BI 409306 in Patients With Cognitive Impairment Due to Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT02337907,completed,alzheimer disease,drug: placebo|drug: placebo|drug: bi 409306|drug: donepezil,boehringer ingelheim,,all,"adult, older_adult",PHASE2,329,interventional,2015-01-21,2017-10-10,"california neuroscience research, sherman oaks, california, 91403, united states|bioclinica research, orlando, florida, 32806, united states|premiere research institute, west palm beach, florida, 33407, united states|indiana university, indianapolis, indiana, 46202, united states|memory enhancement center of america, inc., eatontown, new jersey, 07724, united states|psychiatry and alzheimer's care of rochester, pllc, rochester, new york, 14623, united states|richmond behavioral associates, staten island, new york, 10312, united states|ani neurology, pllc, dba alzheimer's memory center, charlotte, north carolina, 28270, united states|tulsa clinical research, llc, tulsa, oklahoma, 74104, united states|the memory clinic, bennington, vermont, 05201, united states|private practice for psychiatry and neurology, wien, 1130, austria|brussels-univ brugmann -horta, brussel, 1020, belgium|az sint-blasius, dendermonde, 9200, belgium|univ uz gent, gent, 9000, belgium|mons - univ ambroise paré, mons, 7000, belgium|university of calgary, calgary, alberta, t2n 4z6, canada|dr. alexander mcintyre inc., penticton, british columbia, v2a 4m4, canada|pasqua hospital, regina, saskatchewan, s4t 1a5, canada|institut universitaire de geriatrie sherbrooke, quebec, j1j 3h5, canada|hop pellegrin, bordeaux, 33076, france|hop bocage, dijon, 21079, france|hop timone, marseille, 13385, france|hop gui de chauliac, montpellier, 34295, france|hop nord laënnec, nantes, 44093, france|hop la pitié salpêtrière, paris, 75651, france|hop jean bernard, géria, poitiers, poitiers, 86021, france|praxis dr. med. volker schumann, berlin, 10245, germany|emovis gmbh, berlin, 10629, germany|st. josef- und st. elisabeth-hospital ggmbh, bochum, 44791, germany|neuro centrum science gmbh, erbach, 64711, germany|afl arzneimittelforschung leipzig gmbh, leipzig, 04107, germany|universitätsmedizin der johannes gutenberg-universität mainz, mainz, 55131, germany|zentralinstitut für seelische gesundheit, mannheim, 68159, germany|universitätsklinikum ulm, ulm, 89081, germany|neurologie und psychiatrie / psychotherapie, westerstede, 26655, germany|p.o. bellaria irccs istituto delle scienze neurologiche di bologna, bologna, 40139, italy|azienda ospedaliera careggi, firenze, 50134, italy|azienda ospedaliera di parma, parma, 43126, italy|jeroen bosch ziekenhuis-hertogenbosch, 's-hertogenbosch, 5223 gz, netherlands|brain research center, amsterdam, 1081 gn, netherlands|podlassian center of psychogeriatry, bialystok, bialystok, 15-756, poland|mental health center biomed, kielce, 25-411, poland|non-public outpatient clinic neuromed m. i m. nastaj, lublin, 20-064, poland|inst. of rural health, spec. outp. clin. & rural occup. dis., lublin, 20-090, poland|non-public outpatient clinic neuro-kard ilkowski & partners, poznan, 61-853, poland|medical center senior, sopot, 81-855, poland|euromedis sp. z o.o., szczecin, szczecin, 70-111, poland|reg. specialist hospital wroclaw, research & develop. center, wroclaw, 51-124, poland|hospital fernando fonseca, epe, amadora, 2700-276, portugal|hospital de braga-escala braga, braga, 4710-243, portugal|chuc - centro hospitalar e universitário de coimbra, epe, coimbra, 3000-075, portugal|hospital senhora oliveira guimarães,epe, guimarães, 4835-044, portugal|chlo, epe - hospital egas moniz, lisboa, 1349-019, portugal|hospital beatriz ângelo, loures, 2674-514, portugal|ulsm, epe - hospital pedro hispano, matosinhos, 4454-509, portugal|centro hospitalar de entre o douro e vouga, e.p.e. - hospital de são sebastião, santa maria da feira, 4520-211, portugal|royal united hospital, bath, ba1 3ng, united kingdom|ninewells hospital & medical school, dundee, scotland, dd19sy, united kingdom|west devon (tavistock) cmht & memory clinic (edi), ivybridge, pl219ab, united kingdom|re-cognition health, plymouth, pl6 8bt, united kingdom"
NCT05069155,The STEP 4Life Trial,https://clinicaltrials.gov/study/NCT05069155,completed,"alzheimer disease, at risk|alzheimer disease, protection against|dementia",behavioral: gamification,university of pennsylvania,National Institute on Aging (NIA),all,"adult, older_adult",,240,interventional,2021-11-01,2023-01-02,"blockley hall, philadelphia, pennsylvania, 19104, united states"
NCT03061474,Nicotinamide as an Early Alzheimer's Disease Treatment,https://clinicaltrials.gov/study/NCT03061474,completed,alzheimer's disease|mild cognitive impairment,drug: nicotinamide|drug: placebo comparator,"university of california, irvine",,all,"adult, older_adult",PHASE2,46,interventional,2017-07-12,2022-08-30,"university of california, irvine, irvine, california, 92697, united states|university of california, los angeles, los angeles, california, 90095, united states"
NCT03412604,Effect of Modulating Gamma Oscillations Using tACS,https://clinicaltrials.gov/study/NCT03412604,completed,alzheimer disease,device: transcranial alternating current stimulation (tacs),massachusetts general hospital,Defense Advanced Research Projects Agency,all,"adult, older_adult",,5,interventional,2018-08-02,2019-09-15,"beth israel deaconess medical center, boston, massachusetts, 02215, united states"
NCT03073876,Detecting an Early Response to Donepezil With Measures of Visual Attention,https://clinicaltrials.gov/study/NCT03073876,completed,alzheimer disease,drug: donepezil hydrochloride|drug: placebo,nyu langone health,"Queens College, The City University of New York",all,"adult, older_adult",PHASE4,25,interventional,2005-12-01,2021-01-13,"winthrop-university hospital, mineola, new york, 11501, united states"
NCT05225389,"Study to Assess the Absorption, Metabolism, Excretion, and Mass Balance of CT1812 in Healthy Adult Male Subjects",https://clinicaltrials.gov/study/NCT05225389,completed,alzheimer disease,drug: 300 mg [c14] ct1812,cognition therapeutics,National Institute on Aging (NIA),male,adult,PHASE1,8,interventional,2021-12-31,2022-01-24,"celerion, lincoln, nebraska, 68502, united states"
NCT05218018,Triglyceride Effects on Blood Flow in the Human Brain,https://clinicaltrials.gov/study/NCT05218018,completed,alzheimer disease,dietary_supplement: lipid drink,university of washington,National Institute on Aging (NIA),all,"adult, older_adult",,30,interventional,2020-03-01,2022-01-13,"university of washington medical center, seattle, washington, 98104, united states"
NCT03537729,Effects of Visual Cues and Education for People Who Live Within Long Term Care Communities to Assist in Wayfinding,https://clinicaltrials.gov/study/NCT03537729,completed,alzheimer disease|alzheimer dementia|age-related memory disorders|dementia,behavioral: salient cues|behavioral: spaced retrieval education,grand valley state university,Michigan State University,all,"adult, older_adult",,172,interventional,2019-06-12,2023-10-23,"grand valley state university, allendale, michigan, 49401, united states|brush development, chardon, ohio, 44024, united states"
NCT05227820,Insulin-Sensitizing Anti-Inflammatory Small Molecule for Investigative Treatment of Dementia,https://clinicaltrials.gov/study/NCT05227820,completed,alzheimer disease,drug: ne3107,neurological associates of west los angeles,BioVie Inc.,all,"adult, older_adult",PHASE2,23,interventional,2022-01-19,2022-08-20,"neurological associates - the interventional group, santa monica, california, 90403, united states"
NCT04805983,"Evaluating the Safety, Tolerability, Pharmacokinetics and Receptor Occupancy of BMS-984923",https://clinicaltrials.gov/study/NCT04805983,completed,alzheimer disease,drug: bms-984923,yale university,National Institute on Aging (NIA),all,"adult, older_adult",PHASE1,36,interventional,2021-03-25,2022-04-24,"yale university, new haven, connecticut, 06520, united states"
NCT04489303,Virtual Patient Behavioral Response Training for Family Caregivers,https://clinicaltrials.gov/study/NCT04489303,completed,alzheimer disease,behavioral: caring response app|behavioral: traditional educational/resources program,"photozig, inc.",,all,"adult, older_adult",PHASE2,156,interventional,2020-05-15,2021-05-30,"photozig, inc., mountain view, california, 94035-0128, united states"
NCT03503669,Reducing Risk for Alzheimer's Disease in High-Risk Women Through Yogic Meditation Training,https://clinicaltrials.gov/study/NCT03503669,completed,mild cognitive impairment|alzheimer's disease,behavioral: memory training|behavioral: kundalini yoga and meditation,"university of california, los angeles",Alzheimer's Research and Prevention Foundation,female,"adult, older_adult",,100,interventional,2018-05-01,2021-02-01,"ucla semel institute, los angeles, california, 90095, united states"
NCT04394845,A Study of the Biodistribution and Safety of [18F]GTP1 in Healthy Japanese Participants,https://clinicaltrials.gov/study/NCT04394845,completed,alzheimer disease,diagnostic_test: [18f]gtp1,"genentech, inc.",Invicro,all,"adult, older_adult",PHASE1,6,interventional,2020-08-11,2020-10-09,"invicro, a konica minolta company, new haven, connecticut, 06510, united states"
NCT04555616,Environmental Design for Behavioral Regulation in People With Dementia,https://clinicaltrials.gov/study/NCT04555616,completed,alzheimer disease,behavioral: standard environmental design|behavioral: individual environmental design|behavioral: placebo,elizabeth k rhodus,National Institute on Aging (NIA),all,"adult, older_adult",,30,interventional,2021-01-25,2021-10-13,"university of kentcuky, lexington, kentucky, 40536, united states"
NCT03901092,A Reader Study to Assess Accuracy and Reliability of Flortaucipir F 18 Positron Emission Tomography (PET) Scan Interpretation,https://clinicaltrials.gov/study/NCT03901092,completed,alzheimer disease,drug: flortaucipir f 18,avid radiopharmaceuticals,,all,"child, adult, older_adult",PHASE3,242,interventional,2019-03-26,2019-04-26,"american college of radiology, philadelphia, pennsylvania, 19103, united states"
NCT03543878,Stimulating Neural Activity to Improve Blood Flow and Reduce Amyloid: Path to Clinical Trials,https://clinicaltrials.gov/study/NCT03543878,completed,alzheimer disease,device: flicker,emory university,Georgia Institute of Technology,all,"adult, older_adult",,10,interventional,2018-11-16,2020-02-10,"12 executive park drive, atlanta, georgia, 30329, united states"
NCT03467477,Tau Screening Study in Subjects With Early Symptomatic AD,https://clinicaltrials.gov/study/NCT03467477,completed,alzheimer disease,drug: flortaucipir f18|procedure: brain pet scan,avid radiopharmaceuticals,,all,"adult, older_adult",PHASE2,161,interventional,2018-03-08,2018-11-15,"irvine center for clinical research, irvine, california, 92614, united states|brain matters research, delray beach, florida, 33445, united states|neuropsychiatric research center of southwest florida, fort myers, florida, 33912, united states|renstar medical research, ocala, florida, 34470, united states|bioclinica research, orlando, florida, 32806, united states|progressive medical research, port orange, florida, 32127, united states|great lakes clinical trials, chicago, illinois, 60640, united states|cotton o'neil clinical research center, topeka, kansas, 66606, united states|butler hospital, providence, rhode island, 02906, united states"
NCT04730635,Cognition Platform Study in Participants at Risk for Alzheimer's Disease (AD) (MK-0000-413),https://clinicaltrials.gov/study/NCT04730635,completed,alzheimer's disease|mild cognitive impairment,drug: donepezil|drug: placebo,merck sharp & dohme llc,,all,"adult, older_adult",PHASE1,44,interventional,2021-03-23,2023-02-06,"collaborative neuroscience network ( site 0010), long beach, california, 90806, united states|velocity clinical research, hallandale beach ( site 0013), hallandale beach, florida, 33009, united states|charter research - lady lake ( site 0025), lady lake, florida, 32159, united states|iresearch atlanta ( site 0005), decatur, georgia, 30030, united states|iresearch savannah ( site 0023), savannah, georgia, 31405, united states|pennington biomedical research center ( site 0006), baton rouge, louisiana, 70808, united states|insight clinical trials ( site 0020), beachwood, ohio, 44122, united states|north texas clinical trials - fort worth - west rosedale ( site 0022), fort worth, texas, 76104, united states|royal adelaide hospital-calhn memory trials ( site 0031), adelaide, south australia, 5000, australia|austin health ( site 0030), heidelberg, victoria, 3084, australia"
NCT01972204,Intensive Instruction on the Use of Aricept,https://clinicaltrials.gov/study/NCT01972204,completed,alzheimer's type dementia,behavioral: intensive adherence instruction|behavioral: control,"mirai iryo research center, inc.",,all,"child, adult, older_adult",,125,interventional,,,"shonan fujisawa tokushukai hospital, fujisawa, kanagawa, japan"
NCT03784300,A Safety Study of PTI-125 in Healthy Volunteers,https://clinicaltrials.gov/study/NCT03784300,completed,"alzheimer disease, early onset|alzheimer disease",drug: 50 mg pti-125|drug: 100 mg pti-125|drug: 200 mg pti-125,pain therapeutics,National Institute on Aging (NIA),all,adult,PHASE1,24,interventional,2017-08-18,2018-03-27,"worldwide clinical trials, san antonio, texas, 78217, united states"
NCT03322462,Tau Screening Study in Patients With Early Symptomatic AD,https://clinicaltrials.gov/study/NCT03322462,completed,alzheimer disease,drug: flortaucipir f18|procedure: brain pet scan,avid radiopharmaceuticals,,all,"adult, older_adult",PHASE2,155,interventional,2017-11-21,2018-08-31,"pacific research network, san diego, california, 92103, united states|syrentis clinical research, santa ana, california, 92705, united states|brain matters research, delray beach, florida, 33445, united states|bioclinica (compass research), orlando, florida, 32806, united states|axiom clinical research, tampa, florida, 33609, united states|boston center for memory, newton, massachusetts, 02459, united states|pmg research, winston-salem, north carolina, 27103, united states|abington neurological associates, willow grove, pennsylvania, 19090, united states|the memory clinic, bennington, vermont, 05201, united states|toronto memory program, toronto, ontario, m3b 2s7, canada"
NCT04457973,Home-based Transcranial Direct Current Stimulation for Pain Management in Persons With Alzheimer's Disease and Related Dementias,https://clinicaltrials.gov/study/NCT04457973,completed,alzheimer's disease and related dementias,device: active tdcs|device: sham tdcs,florida state university,National Institute of Nursing Research (NINR),all,"adult, older_adult",,40,interventional,2020-09-04,2022-10-19,"the university of texas health science center at houston, houston, texas, 77030, united states"
NCT03442322,Optimizing Care for Patients With Dementia,https://clinicaltrials.gov/study/NCT03442322,completed,alzheimer disease,other: transdisciplinary approach|other: multidisciplinary approach,university of pittsburgh,Patient-Centered Outcomes Research Institute,all,"child, adult, older_adult",,53,interventional,2018-03-15,2022-07-26,"university of pittsburgh, pittsburgh, pennsylvania, 15213, united states"
NCT02703636,"NextStep:Study to Evaluate Safety,Efficacy & Tolerability of Rivastigmine Patch in Mild to Moderate Alzheimer's Patients.",https://clinicaltrials.gov/study/NCT02703636,completed,mild to moderate alzheimer's disease,drug: rivastigmine patch,novartis pharmaceuticals,,all,"adult, older_adult",PHASE4,118,interventional,2016-05-09,2018-05-07,"novartis investigative site, fukuoka city, fukuoka, 814 0180, japan|novartis investigative site, fukuoka city, fukuoka, 814-0015, japan|novartis investigative site, aizuwakamatsu, fukushima, 965-8585, japan|novartis investigative site, tsukuba-city, ibaraki, 305-8576, japan|novartis investigative site, kita-gun, kagawa, 761-0793, japan|novartis investigative site, sagamihara-city, kanagawa, 252-5188, japan|novartis investigative site, kochi-city, kochi, 780-0842, japan|novartis investigative site, sanjo-city, niigata, 955-0823, japan|novartis investigative site, kurashiki-city, okayama, 710-0826, japan|novartis investigative site, osaka-city, osaka, 543-8555, japan|novartis investigative site, suita city, osaka, 565 0871, japan|novartis investigative site, kasukabe-city, saitama, 344-0036, japan|novartis investigative site, koshigaya-city, saitama, 343-0032, japan|novartis investigative site, fuji city, shizuoka, 416-0955, japan|novartis investigative site, bunkyo ku, tokyo, 113-8431, japan|novartis investigative site, hachioji-city, tokyo, 193-0944, japan|novartis investigative site, shinjuku-ku, tokyo, 160-0023, japan|novartis investigative site, suginami ku, tokyo, 168-8535, japan|novartis investigative site, okayama, 710-0813, japan"
NCT05255068,OPTIMAL in NH Residents With Dementia,https://clinicaltrials.gov/study/NCT05255068,completed,alzheimer's disease and related dementias,behavioral: optimal,university of iowa,National Institute on Aging (NIA),all,"adult, older_adult",,111,interventional,2022-05-16,2022-11-05,"iowa vateran's home, marshalltown, iowa, 50158, united states"
NCT04481568,Reducing Behavioral and Psychological Symptoms of Dementia: Family Caregivers (Aim 1),https://clinicaltrials.gov/study/NCT04481568,completed,alzheimer's disease and related dementias,behavioral: pes-4-bpsd model|behavioral: the attention control condition,northwell health,National Institute of Nursing Research (NINR)|Penn State University,all,older_adult,,158,interventional,2020-02-03,2021-12-29,"long island jewish medical center, glen oaks, new york, 11040, united states|north shore university hospital, manhasset, new york, 11030, united states"
NCT02087865,Effects of Donepezil HCL on Task-Activated fMRI Brain Activation in Healthy Older Adults at Genetic Risk for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02087865,completed,genetic risk for alzheimer's disease,drug: donepezil hcl|drug: placebo,the cleveland clinic,National Institute on Aging (NIA),all,"adult, older_adult",PHASE4,89,interventional,,2021-12-20,"cleveland clinic center for brain health, cleveland, ohio, 44195, united states"
NCT04179721,Reducing Behavioral and Psychological Symptoms of Dementia: Hospital Caregivers (Aim 2),https://clinicaltrials.gov/study/NCT04179721,completed,alzheimer's disease and related dementias,behavioral: pes-4-bpsd model|behavioral: the attention control condition,northwell health,National Institute of Nursing Research (NINR)|Penn State University,all,"adult, older_adult",,54,interventional,2019-10-22,2021-05-18,"long island jewish medical center, glen oaks, new york, 11040, united states|north shore university hospital, manhasset, new york, 11030, united states"
NCT02886494,A Study to Evaluate Efficacy and Safety of BAC in Patient With Alzheimer's Disease or Vascular Dementia,https://clinicaltrials.gov/study/NCT02886494,completed,alzheimer's disease or vascular dementia,drug: bac treatment|drug: matched vehicle,charsire biotechnology corp.,,all,"adult, older_adult",PHASE2,80,interventional,,2018-11-01,"clinical research consortium, tempe, arizona, 85283, united states|woodland international research group, little rock, arkansas, 72211, united states|woodland research northwest, llc, rogers, arkansas, 72758, united states|pacific research network, llc, san diego, california, 92103, united states|neurotrials research, inc., atlanta, georgia, 30342, united states|the cognitive and research center of nj, springfield, new jersey, 07081, united states|advanced memory research institute of nj, pc, toms river, new jersey, 08755, united states|spri, brooklyn, new york, 11235, united states|wake research associates, raleigh, north carolina, 27612, united states|neurology diagnostics, inc., dayton, ohio, 45459, united states"
NCT01922258,Safety and Tolerability Study of Flexible Dosing of Brexpiprazole in the Treatment of Subjects With Agitation Associated With Dementia of the Alzheimer's Type,https://clinicaltrials.gov/study/NCT01922258,completed,agitation associated with|alzheimer's disease|alzheimer's type|mental disorder|nervous system diseases,"drug: brexpiprazole, opc-34712","otsuka pharmaceutical development & commercialization, inc.",H. Lundbeck A/S,all,"adult, older_adult",PHASE3,270,interventional,,,"imperial, california, 92251, united states|lakewood, california, 08755, united states|long beach, california, 90806, united states|long beach, california, 90822, united states|panorama city, california, 91402, united states|universal city, california, 91950, united states|denver, colorado, 80209, united states|bradenton, florida, 34205, united states|miami, florida, 33142, united states|miami, florida, 33165, united states|miami, florida, 33176, united states|orange city, florida, 32763, united states|atlanta, georgia, 30331, united states|smyrna, georgia, 30080, united states|honolulu, hawaii, 96817, united states|indianapolis, indiana, 46256, united states|quincy, massachusetts, 02169, united states|south dartmouth, massachusetts, 02747, united states|ann arbor, michigan, 48105, united states|brooklyn, new york, 11214, united states|buffalo, new york, 14215, united states|new hyde park, new york, 11040, united states|charlotte, north carolina, 28270, united states|raleigh, north carolina, 27609, united states|austin, texas, 78757, united states|dallas, texas, 75231, united states|dallas, texas, 75243, united states|woodstock, vermont, 05091, united states|burgas, 8000, bulgaria|kardzhali, 6600, bulgaria|pazardzhik, 4400, bulgaria|ruse, 7003, bulgaria|sofia, 1113, bulgaria|sofia, 1154, bulgaria|sofia, 1431, bulgaria|varna, 9020, bulgaria|veliko tarnovo, 5000, bulgaria|penticton, british columbia, v2a 4m4, canada|kentville, b4n 4k9, canada|kuopio, 70210, finland|turku, 20520, finland|bourg en bresse, 01012, france|douai, 59500, france|elancourt, 78990, france|limoges, 87042, france|nice, 06100, france|toulouse, 31059, france|tonnel'nyy, stavropol region, 357034, russian federation|ekaterinburg, 620030, russian federation|saratov, 410060, russian federation|st. petersburg, 188820, russian federation|st. petersburg, 190005, russian federation|st. petersburg, 195176, russian federation|st. petersburg, 197341, russian federation|ljubljana, 1000, slovenia|maribor, 2000, slovenia|sempeter pri gorici, 5290, slovenia|donetsk, 83037, ukraine|kharkiv, 61068, ukraine|kharkov, 61068, ukraine|kherson, 73488, ukraine|kiev, 04080, ukraine|kiev, 04114, ukraine|lviv, 79021, ukraine|poltava, 36013, ukraine|simferopol, 95006, ukraine|vinnytsia, 21005, ukraine|crewe, cw1 2er, united kingdom|manchester, m8 5rb, united kingdom|margate, ct20 1jy, united kingdom|torpoint, pl11 2tb, united kingdom"
